Date,Hour,CellName,Traffic
10/23/2017 0:00,7,Cell_001803,15.13867
10/23/2017 0:00,2,Cell_002303,2.05516
10/23/2017 0:00,7,Cell_004083,71.55308
10/23/2017 0:00,0,Cell_003781,557.98491
10/23/2017 0:00,3,Cell_000112,0.98166
10/23/2017 0:00,0,Cell_006651,46.3753
10/23/2017 0:00,2,Cell_001033,10.29328
10/23/2017 0:00,6,Cell_039872,41.88936
10/23/2017 0:00,3,Cell_006663,5.95218
10/23/2017 0:00,4,Cell_000233,12.94846
10/23/2017 0:00,7,Cell_001031,14.76909
10/23/2017 0:00,6,Cell_007372,33.76201
10/23/2017 0:00,3,Cell_001033,8.04626
10/23/2017 0:00,6,Cell_000231,354.65967
10/23/2017 0:00,1,Cell_001973,25.47877
10/23/2017 0:00,3,Cell_006661,10.91845
10/23/2017 0:00,6,Cell_007371,30.20817
10/23/2017 0:00,11,Cell_001961,157.85118
10/23/2017 0:00,11,Cell_006662,151.11001
10/23/2017 0:00,8,Cell_001803,38.88811
10/23/2017 0:00,8,Cell_003792,114.62274
10/23/2017 0:00,8,Cell_000113,186.88056
10/23/2017 0:00,10,Cell_006661,207.97288
10/23/2017 0:00,8,Cell_001802,7.41033
10/23/2017 0:00,9,Cell_003783,3.92859
10/23/2017 0:00,11,Cell_001793,219.08659
10/23/2017 0:00,9,Cell_000821,0.14584
10/23/2017 0:00,9,Cell_004072,237.34943
10/23/2017 0:00,7,Cell_000111,299.72202
10/23/2017 0:00,9,Cell_001031,28.82155
10/23/2017 0:00,4,Cell_004073,0.89894
10/23/2017 0:00,5,Cell_001912,3.39834
10/23/2017 0:00,3,Cell_002301,0.39931
10/23/2017 0:00,5,Cell_002302,19.00442
10/23/2017 0:00,3,Cell_001793,2.8523
10/23/2017 0:00,6,Cell_001032,84.31296
10/23/2017 0:00,3,Cell_004071,12.7678
10/23/2017 0:00,3,Cell_001031,0.74177
10/23/2017 0:00,7,Cell_001791,76.57606
10/23/2017 0:00,10,Cell_007372,28.31739
10/23/2017 0:00,16,Cell_003793,220.60219
10/23/2017 0:00,10,Cell_003783,56.27958
10/23/2017 0:00,14,Cell_001031,58.74184
10/23/2017 0:00,10,Cell_004081,61.63471
10/23/2017 0:00,13,Cell_000233,420.09103
10/23/2017 0:00,13,Cell_006661,363.7163
10/23/2017 0:00,16,Cell_002303,113.1477
10/23/2017 0:00,16,Cell_039873,239.51027
